"r","yr","value"
"id",2010,1488.40659042703
"il",2010,7463.88776715913
"in",2010,4298.93584074611
"ia",2010,9367.52516449644
"ks",2010,4666.64995897769
"ky",2010,1515.14845859083
"la",2010,1509.51018743876
"me",2010,236.990233857918
"md",2010,565.213826757333
"ma",2010,197.901108808067
"mi",2010,2355.15653171869
"mn",2010,6113.24032162326
"ms",2010,1784.33320306501
"mo",2010,3484.71553607279
"mt",2010,1076.50949913312
"ne",2010,5335.00121934949
"nv",2010,111.218671382442
"nh",2010,65.4131300084574
"nj",2010,399.035524307005
"nm",2010,681.930663170266
"ny",2010,1224.66225032985
"nc",2010,3391.01047123083
"nd",2010,3690.91966770707
"oh",2010,3406.8305752772
"ok",2010,1541.31919730733
"or",2010,1353.44460666856
"pa",2010,1615.34486272751
"ri",2010,31.6798320803511
"sc",2010,808.839908863003
"sd",2010,2964.25698353735
"tn",2010,1241.4315672342
"tx",2010,6324.80826026808
"ut",2010,329.919488277048
"vt",2010,139.960971914636
"va",2010,875.235649037815
"wa",2010,2800.59745815922
"wv",2010,115.167780213125
"wi",2010,2411.56021567168
"wy",2010,235.458326583287
"al",2011,1408.09338788576
"ak",2011,12.8477343936049
"az",2011,1514.75706971466
"ar",2011,3507.76467328869
"ca",2011,18197.9825025236
"co",2011,1860.71709314775
"ct",2011,238.764960839827
"de",2011,269.203444709
"fl",2011,3334.89076041024
"ga",2011,3218.09566940068
"hi",2011,363.076357998176
"id",2011,2012.54887728309
"il",2011,8594.28604198017
"in",2011,4999.07372298724
"ia",2011,10742.2740774369
"ks",2011,4649.18181833819
"ky",2011,1766.8936886033
"la",2011,1743.64188626951
"me",2011,274.855756916799
"md",2011,623.071550968066
"ma",2011,230.820422571714
"mi",2011,3001.17635116799
"mn",2011,7044.84673222023
"ms",2011,2095.32534775274
"mo",2011,4046.10798320789
"mt",2011,1713.47175936236
"ne",2011,7241.6756532036
"nv",2011,143.002237014663
"nh",2011,72.3598973136274
"nj",2011,458.850582284864
"nm",2011,783.026611541058
"ny",2011,1422.6511060421
"nc",2011,3900.41512219836
